STATISTIC,STATISTIC Label,TLIST(A1),Year,C02293V02763,Direction,C03042V03675,Route,UNIT,VALUE
ASA02,Air and Sea Travel,2018,2018,2,Departures,03,Transatlantic,Thousand,2136.9
ASA02,Air and Sea Travel,2018,2018,2,Departures,04,Other,Thousand,614.1
ASA02,Air and Sea Travel,2019,2019,1,Arrivals,-,All routes of travel,Thousand,20143.7
ASA02,Air and Sea Travel,2019,2019,1,Arrivals,01,Cross channel,Thousand,7660.1
ASA02,Air and Sea Travel,2019,2019,1,Arrivals,02,Continental Europe,Thousand,9683
ASA02,Air and Sea Travel,2019,2019,1,Arrivals,03,Transatlantic,Thousand,2155.6
ASA02,Air and Sea Travel,2019,2019,1,Arrivals,04,Other,Thousand,645.1
ASA02,Air and Sea Travel,2019,2019,2,Departures,-,All routes of travel,Thousand,20205.3
ASA02,Air and Sea Travel,2019,2019,2,Departures,01,Cross channel,Thousand,7670.5
ASA02,Air and Sea Travel,2019,2019,2,Departures,02,Continental Europe,Thousand,9715.8
ASA02,Air and Sea Travel,2019,2019,2,Departures,03,Transatlantic,Thousand,2184.7
ASA02,Air and Sea Travel,2019,2019,2,Departures,04,Other,Thousand,634.3
ASA02,Air and Sea Travel,2020,2020,1,Arrivals,-,All routes of travel,Thousand,4460.2
ASA02,Air and Sea Travel,2020,2020,1,Arrivals,01,Cross channel,Thousand,1812.3
ASA02,Air and Sea Travel,2020,2020,1,Arrivals,02,Continental Europe,Thousand,2169.5
ASA02,Air and Sea Travel,2020,2020,1,Arrivals,03,Transatlantic,Thousand,307
ASA02,Air and Sea Travel,2020,2020,1,Arrivals,04,Other,Thousand,171.4
ASA02,Air and Sea Travel,2020,2020,2,Departures,-,All routes of travel,Thousand,4452.6
ASA02,Air and Sea Travel,2020,2020,2,Departures,01,Cross channel,Thousand,1858.9
ASA02,Air and Sea Travel,2020,2020,2,Departures,02,Continental Europe,Thousand,2145.2
